Input name	RefMet name	Formula	Mass	REGNO
PC 40:6	PC(40:6)	C48H84NO8P	833.5935	
PC 40:7	PC(40:7)	C48H82NO8P	831.5778	
PC 40:8	PC(40:8)	C48H80NO8P	829.5622	
PC 42:4	PC(42:4)	C50H92NO8P	865.6561	
PC 42:5	PC(42:5)	C50H90NO8P	863.6404	
PE 32:1	PE(32:1)	C37H72NO8P	689.4996	
PE 34:0	PE(34:0)	C39H78NO8P	719.5465	
PE 34:1	PE(34:1)	C39H76NO8P	717.5309	
PE 34:2	PE(34:2)	C39H74NO8P	715.5152	
PE 34:3	PE(34:3)	C39H72NO8P	713.4996	
PE 35:2	PE(35:2)	C40H76NO8P	729.5309	
PE 36:0	PE(36:0)	C41H82NO8P	747.5778	
PE 36:1	PE(36:1)	C41H80NO8P	745.5622	
PE 36:2	PE(36:2)	C41H78NO8P	743.5465	
PE 36:3	PE(36:3)	C41H76NO8P	741.5309	
PE 36:4	PE(36:4)	C41H74NO8P	739.5152	
PE 36:5	PE(36:5)	C41H72NO8P	737.4996	
PE 37:4	PE(37:4)	C42H76NO8P	753.5309	
PE 38:3	PE(38:3)	C43H80NO8P	769.5622	
PE 38:4	PE(38:4)	C43H78NO8P	767.5465	
PE 38:5	PE(38:5)	C43H76NO8P	765.5309	
PE 38:6	PE(38:6)	C43H74NO8P	763.5152	
PE 40:5	PE(40:5)	C45H80NO8P	793.5622	
PE 40:6	PE(40:6)	C45H78NO8P	791.5465	
PE 40:7	PE(40:7)	C45H76NO8P	789.5309	
PE 40:8	PE(40:8)	C45H74NO8P	787.5152	
PG 34:0	PG(34:0)	C40H79O10P	750.5411	
PG 36:0	PG(36:0)	C42H83O10P	778.5724	
PG 36:2	PG(36:2)	C42H79O10P	774.541088	
PI 34:1	PI(34:1)	C43H81O13P	836.5415	
PI 34:2	PI(34:2)	C43H79O13P	834.5258	
PI 36:2	PI(36:2)	C45H83O13P	862.5571	
PI 36:4	PI(36:4)	C45H79O13P	858.5258	
PI 37:4	PI(37:4)	C46H81O13P	872.5415	
PI 38:3	PI(38:3)	C47H85O13P	888.5728	
PI 38:4	PI(38:4)	C47H83O13P	886.5571	
PI 38:5	PI(38:5)	C47H81O13P	884.5415	
PI 38:6	PI(38:6)	C47H79O13P	882.5258	
lysoPE 16:0	LPE(16:0)	C21H44NO7P	453.2855	
lysoPE 18:0	LPE(18:0)	C23H48NO7P	481.3168	
lysoPE 18:1	LPE(18:1)	C23H46NO7P	479.3012	
lysoPE 18:2	LPE(18:2)	C23H44NO7P	477.2855	
lysoPE 20:3	LPE(20:3)	C25H46NO7P	503.3012	
lysoPE 20:4	LPE(20:4)	C25H44NO7P	501.2855	
lysoPE 20:5	LPE(20:5)	C25H42NO7P	499.2699	
lysoPE 22:4	LPE(22:4)	C27H48NO7P	529.3168	
lysoPE 22:5	LPE(22:5)	C27H46NO7P	527.3012	
lysoPE 22:6	LPE(22:6)	C27H44NO7P	525.2855	
plasmenyl-PE 34:0	PE(P-34:0)/PE(O-34:1)	C39H78NO7P	703.5516	
plasmenyl-PE 34:1	PE(P-34:1)/PE(O-34:2)	C39H76NO7P	701.5359	
plasmenyl-PE 34:2	PE(P-34:2)/PE(O-34:3)	C39H74NO7P	699.5203	
plasmenyl-PE 34:3	PE(P-34:3)/PE(O-34:4)	C39H72NO7P	697.5046	
plasmenyl-PE 36:1	PE(P-36:1)/PE(O-36:2)	C41H80NO7P	729.5672	
plasmenyl-PE 36:2	PE(P-36:2)/PE(O-36:3)	C41H78NO7P	727.5516	
plasmenyl-PE 36:3	PE(P-36:3)/PE(O-36:4)	C41H76NO7P	725.5359	
plasmenyl-PE 36:4	PE(P-36:4)/PE(O-36:5)	C41H74NO7P	723.5203	
plasmenyl-PE 36:5	PE(P-36:5)/PE(O-36:6)	C41H72NO7P	721.5046	
